UniProt IDs,Clusters,DPC_0h_1,DPC_0h_2,DPC_0h_3,DPC_0h_4,DPC_3h_1,DPC_3h_2,DPC_3h_3,DPC_3h_4,DPC_6h_1,DPC_6h_2,DPC_6h_3,DPC_6h_4,DPC_9h_1,DPC_9h_2,DPC_9h_3,DPC_9h_4,DPC_12h_1,DPC_12h_2,DPC_12h_3,DPC_12h_4,DPC_18h_1,DPC_18h_2,DPC_18h_3,DPC_18h_4,DPC_24h_1,DPC_24h_2,DPC_24h_3,DPC_24h_4,DPC_36h_1,DPC_36h_2,DPC_36h_3,DPC_36h_4
Q5T1J5,57,28101.7832,28082.85938,26005.94531,28217.19531,26595.91602,30230.58203,37946.14453,29011.69336,33178.98047,34121.51172,31522.80859,28591.66211,24248.81836,26643.94141,30135.23828,26619.51172,33179.5,24664.79883,22897.58984,21792.96289,27621.79688,22113.10742,23584.39453,24240.84766,32219.3418,32516.5957,38306.77344,35465.29688,42592.39844,33264.65234,45884.96094,45855.16406
Q5T1M5,12,36721.13281,39739.32031,37168.12891,38405.07031,30174.97852,34171.47656,34453.23047,30229.22266,36228.75,37036.37109,39576.96484,42209.03125,35624.98438,34704.71094,30918.27344,38808.89063,21224.38086,18158.56055,13777.81445,14555.0498,17178,14657.67383,12491.65332,13489.20996,18373.87695,15221.13965,16449.94727,11876.08496,21051.82422,17374.34961,16200.47363,19212.92969
Q5T1V6,45,46761.10938,40979.39453,39599.63672,48388.76563,27942.92969,49537.55859,42778.35938,48244.61328,44180.39063,45309.76563,42561.21094,45577.35938,42103.26563,48543.19922,42816.33594,40821.76563,46403.22656,40978.1875,43131.14453,40010.10547,46375.28906,37492.73047,39517.875,37778.80469,42538.57422,38736.46094,40164.33984,45389.64063,33029.04688,33487.38672,32240.44922,31916.35547
Q5T200,51,26277.45703,26828.25,27215.58984,27300.83789,29509.16797,29842.92578,25170.48047,26735.52344,25788.02734,23146.9375,22563.04688,24685.03906,28272.54492,23774.47266,22505.51367,24533.78906,32590.42383,29368.27148,27274.01758,28625.2207,29909.08984,24869.56836,26397.88281,28081.35938,32227.20313,29519.93555,27250.89258,30100.19531,26763.77148,27235.90234,24309.03125,24692.11719
Q5T280,45,19073.27734,19130.06641,17373.12109,18241.70898,16968.04297,17181,16659.32617,16919.08203,19357.58008,20545.13672,17744.13477,17469.36328,17577.97266,14251.82813,13685.20801,15312.18066,23456.42578,17469.42383,20834.85742,17269.42383,16728.62305,17233.13281,15091.96387,19324.58008,19201.29688,13168.73828,19767.43164,17686.39453,10692.94531,10112.83691,11073.6582,13164.61621
Q5T3I0,1,44760.94922,44767.61328,43618.85938,44913.89453,45139.50781,46602.1875,43942.54688,46775.5625,45215.08203,43747.57813,43674.61719,44850.55469,46886.84375,48997.34766,47889.61328,48212.1875,59289.11719,54567.16016,52925.94922,53431.44141,54854.40625,57013.79297,54898.46484,52270.38281,51308.32031,49358.17578,50502.88281,49077.75391,38400.96875,36708.50391,40777.27734,39466.78125
Q5T3J3,43,24715.55273,20977.80078,24014.69141,24179.96094,25329.79492,25733.95703,23671.88477,22692.29102,25856.43555,26632.52734,27808.00781,26145.40234,35509.18359,32645.85547,30802.82617,31874.92969,43582.96094,41313.14063,39110.57422,41259.24219,48642.90234,40847.51953,43369.37891,41801.55859,44872.85156,44176.39453,41564.38672,42777.41797,35113.51953,34972.93359,34840.60547,32186.92969
Q5T447,46,39351.44141,31318.99219,29744.92969,37052.68359,38568.27344,28337.08789,34617.85547,32955.85156,41412.67578,43452.62109,42455.35547,37816.44922,39930.82031,34697.17969,34611.58594,34807.87109,45798.82813,28895.21289,24590.88281,30607.20508,32762.25195,23620.90625,29393.30664,25015.30469,41153.01172,33273.54688,30552.83008,33579.72266,34760.57031,30608.67969,28556.33203,30145.10938
Q5T4S7,12,25451.43945,26321.19336,25284.28711,24604.16211,23242.79883,23799.06641,24067.28711,23283.62695,28023.51563,27459.58203,27674.52539,26864.48242,24226.09766,23123.71484,23855.15234,23649.20508,18073.04492,16584.44922,17055.39258,15881.78125,14123.90039,13003.29688,13491.23242,13444.28223,14087.72168,13460.69922,12495.83105,14074.06738,17503.9082,16061.82813,16782.64258,16366.70508
Q5T5U3,49,24978.90039,23555.32031,23222.55859,21733.37305,23629.125,23030.4707,22632.4043,27734.33594,24017.41602,26950.44531,22148.7168,24140.18359,16643.98438,16845.23828,18584.51172,17176.1582,20851.76172,22168.60742,24926.66211,16098.03516,6740.477051,10526.06348,21465.3457,11246.22461,19101.5625,20263.61133,19717.26172,24317.62109,17285.77539,10335.45703,12420.36719,17617.88086
Q5T5X7,2,9212.351563,9479.996094,10447.69922,8332.081055,12038.61328,7523.03125,8215.637695,9427.53125,9295.5,7963.380371,9494.181641,12254.68164,6026.253906,8592.919922,10921.36719,10716.43457,5998.487305,5698.339844,8779.945313,8973.352539,9142.867188,8768.956055,6429.6875,10727.4541,9108.729492,5675.711914,9805.564453,9658.991211,8854.932617,7921.918945,8786.466797,6880.37793
Q5T6F2,59,29814.66211,25443.93359,29709.81836,29197.61914,24788.58789,29466.43555,26606.78906,27363.36719,36607.54297,35217.91406,35613.87891,36125.43359,38298.29688,32966.39063,38912.88672,36234.15234,28457.20703,29006.95313,24309.74219,22675.88672,24879.04883,21620.52734,20622.99023,21811.23828,22286.63672,19828.27539,24239.01953,18793.2832,22355.04297,24517.47656,20654.2793,23577.26563
